 format: day,hour,value location:100_76 Start : 20230101 
1,0,5.8
1,100,7.6
1,200,8.4
1,300,9.1
1,400,9.9
1,500,8.6
1,600,8
1,700,5
1,800,3.1
1,900,4.5
1,1000,3.7
1,1100,3.6
1,1200,3.7
1,1300,4.1
1,1400,4.1
1,1500,4.4
1,1600,4.2
1,1700,2.5
1,1800,1.2
1,1900,1.7
1,2000,1.8
1,2100,0.9
1,2200,1.6
1,2300,4.2
2,0,5.4
2,100,7
2,200,7.2
2,300,7.1
2,400,7.7
2,500,7.7
2,600,6.4
2,700,3.6
2,800,3.2
2,900,3
2,1000,3.2
2,1100,2.9
2,1200,1.5
2,1300,1.3
2,1400,1.4
2,1500,-1.7
2,1600,-1.4
2,1700,-1.1
2,1800,1.1
2,1900,0.5
2,2000,-0.1
2,2100,-0.1
2,2200,0.3
2,2300,2.2
3,0,5
3,100,6.5
3,200,7.7
3,300,9.1
3,400,9.1
3,500,8.2
3,600,6.9
3,700,3
3,800,2.5
3,900,2.6
3,1000,-0.9
3,1100,0.8
3,1200,0.5
3,1300,0.8
3,1400,0.5
3,1500,0.5
3,1600,0.1
3,1700,-0.3
3,1800,-0.7
3,1900,-1.5
3,2000,-0.4
3,2100,0.2
3,2200,1.5
3,2300,3.8
4,0,5.7
4,100,7
4,200,8
4,300,9
4,400,8.6
4,500,8.9
4,600,7.8
4,700,5.4
4,800,1.7
4,900,0.5
4,1000,2.5
4,1100,0.8
4,1200,-0.2
4,1300,2.5
4,1400,1.9
4,1500,1.1
4,1600,1.9
4,1700,-0.7
4,1800,-0.6
4,1900,-1.8
4,2000,-1.9
4,2100,-0.9
4,2200,2.3
4,2300,5.3
5,0,6.9
5,100,7.8
5,200,9.1
5,300,9.8
5,400,9.3
5,500,8.9
5,600,7.9
5,700,5.6
5,800,2.5
5,900,4.9
5,1000,5.5
5,1100,2.7
5,1200,3.3
5,1300,2.9
5,1400,2.9
5,1500,2
5,1600,0.4
5,1700,0
5,1800,-0.6
5,1900,-1.3
5,2000,-1.4
5,2100,-2.3
5,2200,0
5,2300,4.3
6,0,6.6
6,100,8.9
6,200,10.1
6,300,11
6,400,11.3
6,500,11.1
6,600,10.2
6,700,7.2
6,800,4.6
6,900,5.5
6,1000,4.2
6,1100,2.8
6,1200,3.4
6,1300,5.1
6,1400,6.3
6,1500,4.7
6,1600,4.6
6,1700,5.7
6,1800,4.9
6,1900,4.6
6,2000,4.1
6,2100,3.7
6,2200,4.2
6,2300,5
7,0,6.3
7,100,8.5
7,200,9.4
7,300,10
7,400,10.1
7,500,9.1
7,600,8.7
7,700,6.9
7,800,4.8
7,900,2.3
7,1000,2.8
7,1100,4.1
7,1200,4.3
7,1300,3.9
7,1400,3
7,1500,2.1
7,1600,2.2
7,1700,0.4
7,1800,2.6
7,1900,1.9
7,2000,-0.9
7,2100,-1.1
7,2200,0.3
7,2300,4.9
8,0,8.7
8,100,10.3
8,200,12.1
8,300,13.9
8,400,12.9
8,500,12
8,600,10.1
8,700,7.9
8,800,3.5
8,900,3.7
8,1000,3.8
8,1100,3.3
8,1200,3
8,1300,3
8,1400,7.6
8,1500,5.5
8,1600,3.5
8,1700,4.4
8,1800,5.9
8,1900,6.7
8,2000,5.8
8,2100,6.8
8,2200,8
8,2300,10.7
9,0,-50
9,100,14.3
9,200,15.4
9,300,15.7
9,400,15.8
9,500,14.6
9,600,13.7
9,700,11.6
9,800,10.4
9,900,9.7
9,1000,8.9
9,1100,7
9,1200,6.2
9,1300,5.7
9,1400,5.5
9,1500,5
9,1600,5.4
9,1700,4.7
9,1800,5.2
9,1900,4.7
9,2000,3.3
9,2100,4.8
9,2200,6
9,2300,9.1
10,0,10.8
10,100,12.5
10,200,12.2
10,300,12.2
10,400,11.7
10,500,10.4
10,600,9.5
10,700,6.6
10,800,4.8
10,900,3.9
10,1000,4.9
10,1100,5
10,1200,4.4
10,1300,3.2
10,1400,3
10,1500,3.2
10,1600,3.3
10,1700,4.2
10,1800,5.6
10,1900,4.7
10,2000,4.7
10,2100,4.5
10,2200,4.8
10,2300,8.7
11,0,10.9
11,100,12.7
11,200,14.2
11,300,14
11,400,15.2
11,500,14.9
11,600,13.6
11,700,10.7
11,800,8.6
11,900,8.5
11,1000,9.4
11,1100,8.5
11,1200,6.1
11,1300,8.4
11,1400,5.4
11,1500,5.6
11,1600,6.9
11,1700,6.4
11,1800,7.7
11,1900,6.9
11,2000,6
11,2100,3.4
11,2200,4.9
11,2300,9.5
12,0,13.6
12,100,16.700001
12,200,16.200001
12,300,16.6
12,400,17.700001
12,500,16.4
12,600,14.5
12,700,11.8
12,800,11.3
12,900,12.2
12,1000,12.4
12,1100,12.6
12,1200,12.9
12,1300,13
12,1400,13.5
12,1500,14.1
12,1600,13.9
12,1700,13.8
12,1800,14.1
12,1900,14
12,2000,13.8
12,2100,13.9
12,2200,13.9
12,2300,13.7
13,0,13.9
13,100,14.4
13,200,14.8
13,300,15.5
13,400,16.200001
13,500,16.6
13,600,16.799999
13,700,16.1
13,800,15.5
13,900,14.8
13,1000,14.6
13,1100,15
13,1200,14
13,1300,12.9
13,1400,13.2
13,1500,12.4
13,1600,12.1
13,1700,11.6
13,1800,11.3
13,1900,11.2
13,2000,10.9
13,2100,10.7
13,2200,10.5
13,2300,10.7
14,0,11.3
14,100,11.2
14,200,10.5
14,300,9.9
14,400,9.6
14,500,9.3
14,600,8.9
14,700,8.5
14,800,8.3
14,900,8.4
14,1000,8.4
14,1100,8.3
14,1200,8.1
14,1300,8.1
14,1400,7.9
14,1500,7.9
14,1600,7.9
14,1700,7.5
14,1800,7.7
14,1900,7.5
14,2000,7.3
14,2100,7.4
14,2200,7.6
14,2300,7.4
15,0,7.6
15,100,7.8
15,200,7.5
15,300,7.5
15,400,7.6
15,500,7.5
15,600,7.2
15,700,7.1
15,800,6.7
15,900,6.4
15,1000,5.7
15,1100,5
15,1200,3
15,1300,2.5
15,1400,2.1
15,1500,2.1
15,1600,1.4
15,1700,0.5
15,1800,-0.3
15,1900,-1.1
15,2000,-1.4
15,2100,-1.5
15,2200,-0.1
15,2300,2.4
16,0,4.5
16,100,4.6
16,200,7.3
16,300,7.9
16,400,8.6
16,500,8.2
16,600,7.5
16,700,4.2
16,800,1.9
16,900,0.3
16,1000,0.9
16,1100,-0.1
16,1200,-0.2
16,1300,-1.6
16,1400,-1.2
16,1500,-2.1
16,1600,-2.2
16,1700,-2.4
16,1800,-0.1
16,1900,0.9
16,2000,-0.9
16,2100,-1.1
16,2200,-0.7
16,2300,0.9
17,0,3.9
17,100,7.1
17,200,8.1
17,300,6.3
17,400,8.8
17,500,8.6
17,600,7
17,700,3.9
17,800,1.7
17,900,0.5
17,1000,0.1
17,1100,-0.5
17,1200,-1
17,1300,-1.9
17,1400,-1.9
17,1500,-0.2
17,1600,0.9
17,1700,1.2
17,1800,1.5
17,1900,0
17,2000,0.1
17,2100,0.7
17,2200,0.4
