 format: day,hour,value location:100_76 Start : 20230101 
1,0,43
1,100,37
1,200,34
1,300,34
1,400,33
1,500,33
1,600,36
1,700,45
1,800,51
1,900,45
1,1000,37
1,1100,31
1,1200,24
1,1300,23
1,1400,22
1,1500,19
1,1600,16
1,1700,22
1,1800,24
1,1900,17
1,2000,13
1,2100,16
1,2200,17
1,2300,13
2,0,11
2,100,11
2,200,9
2,300,8
2,400,8
2,500,9
2,600,9
2,700,13
2,800,13
2,900,14
2,1000,13
2,1100,14
2,1200,17
2,1300,18
2,1400,18
2,1500,29
2,1600,27
2,1700,26
2,1800,19
2,1900,20
2,2000,21
2,2100,23
2,2200,23
2,2300,20
3,0,17
3,100,15
3,200,13
3,300,12
3,400,12
3,500,12
3,600,13
3,700,19
3,800,20
3,900,24
3,1000,34
3,1100,31
3,1200,31
3,1300,30
3,1400,30
3,1500,28
3,1600,26
3,1700,25
3,1800,24
3,1900,20
3,2000,26
3,2100,41
3,2200,41
3,2300,43
4,0,37
4,100,34
4,200,29
4,300,29
4,400,30
4,500,28
4,600,28
4,700,34
4,800,46
4,900,50
4,1000,41
4,1100,48
4,1200,52
4,1300,39
4,1400,42
4,1500,44
4,1600,41
4,1700,52
4,1800,51
4,1900,57
4,2000,55
4,2100,54
4,2200,46
4,2300,43
5,0,37
5,100,36
5,200,34
5,300,34
5,400,34
5,500,35
5,600,37
5,700,45
5,800,56
5,900,45
5,1000,45
5,1100,58
5,1200,56
5,1300,57
5,1400,57
5,1500,59
5,1600,68
5,1700,72
5,1800,70
5,1900,73
5,2000,71
5,2100,72
5,2200,62
5,2300,51
6,0,41
6,100,31
6,200,27
6,300,25
6,400,19
6,500,20
6,600,22
6,700,30
6,800,40
6,900,45
6,1000,45
6,1100,49
6,1200,55
6,1300,54
6,1400,56
6,1500,80
6,1600,85
6,1700,77
6,1800,68
6,1900,56
6,2000,56
6,2100,56
6,2200,57
6,2300,57
7,0,52
7,100,43
7,200,40
7,300,36
7,400,32
7,500,33
7,600,32
7,700,36
7,800,43
7,900,52
7,1000,50
7,1100,43
7,1200,43
7,1300,43
7,1400,46
7,1500,50
7,1600,52
7,1700,59
7,1800,47
7,1900,48
7,2000,60
7,2100,63
7,2200,60
7,2300,38
8,0,28
8,100,24
8,200,22
8,300,15
8,400,20
8,500,23
8,600,32
8,700,40
8,800,49
8,900,44
8,1000,39
8,1100,36
8,1200,42
8,1300,46
8,1400,35
8,1500,42
8,1600,49
8,1700,48
8,1800,51
8,1900,59
8,2000,67
8,2100,68
8,2200,68
8,2300,60
9,0,-1
9,100,46
9,200,43
9,300,41
9,400,42
9,500,43
9,600,46
9,700,57
9,800,55
9,900,56
9,1000,61
9,1100,63
9,1200,56
9,1300,56
9,1400,56
9,1500,58
9,1600,57
9,1700,59
9,1800,60
9,1900,61
9,2000,68
9,2100,72
9,2200,71
9,2300,61
10,0,46
10,100,43
10,200,41
10,300,45
10,400,50
10,500,51
10,600,54
10,700,63
10,800,71
10,900,76
10,1000,72
10,1100,75
10,1200,77
10,1300,80
10,1400,83
10,1500,84
10,1600,83
10,1700,78
10,1800,69
10,1900,73
10,2000,73
10,2100,67
10,2200,74
10,2300,55
11,0,45
11,100,37
11,200,31
11,300,28
11,400,29
11,500,22
11,600,20
11,700,49
11,800,55
11,900,57
11,1000,58
11,1100,60
11,1200,66
11,1300,60
11,1400,68
11,1500,67
11,1600,62
11,1700,63
11,1800,54
11,1900,55
11,2000,58
11,2100,69
11,2200,58
11,2300,45
12,0,34
12,100,29
12,200,36
12,300,44
12,400,48
12,500,56
12,600,64
12,700,79
12,800,80
12,900,82
12,1000,85
12,1100,83
12,1200,92
12,1300,98
12,1400,99
12,1500,99
12,1600,99
12,1700,100
12,1800,100
12,1900,100
12,2000,99
12,2100,100
12,2200,99
12,2300,100
13,0,100
13,100,100
13,200,100
13,300,100
13,400,100
13,500,100
13,600,100
13,700,100
13,800,100
13,900,100
13,1000,100
13,1100,99
13,1200,99
13,1300,100
13,1400,100
13,1500,100
13,1600,100
13,1700,100
13,1800,100
13,1900,100
13,2000,100
13,2100,100
13,2200,100
13,2300,98
14,0,95
14,100,92
14,200,89
14,300,95
14,400,96
14,500,95
14,600,95
14,700,92
14,800,93
14,900,92
14,1000,90
14,1100,89
14,1200,89
14,1300,86
14,1400,87
14,1500,85
14,1600,85
14,1700,89
14,1800,85
14,1900,87
14,2000,90
14,2100,90
14,2200,88
14,2300,95
15,0,94
15,100,92
15,200,95
15,300,95
15,400,92
15,500,97
15,600,97
15,700,99
15,800,98
15,900,83
15,1000,79
15,1100,81
15,1200,88
15,1300,83
15,1400,71
15,1500,66
15,1600,63
15,1700,69
15,1800,71
15,1900,71
15,2000,75
15,2100,72
15,2200,65
15,2300,56
16,0,51
16,100,50
16,200,43
16,300,40
16,400,36
16,500,37
16,600,36
16,700,51
16,800,56
16,900,69
16,1000,52
16,1100,59
16,1200,52
16,1300,67
16,1400,62
16,1500,69
16,1600,67
16,1700,72
16,1800,58
16,1900,47
16,2000,58
16,2100,56
16,2200,62
16,2300,48
17,0,38
17,100,29
17,200,23
17,300,26
17,400,26
17,500,23
17,600,23
17,700,31
17,800,36
17,900,33
17,1000,38
17,1100,42
17,1200,46
17,1300,53
17,1400,52
17,1500,49
17,1600,50
17,1700,51
17,1800,49
17,1900,57
17,2000,59
17,2100,56
17,2200,63
17,2300,44
18,0,41
18,100,35
18,200,36
18,300,35
18,400,36
18,500,38
18,600,43
18,700,45
18,800,46
18,900,50
18,1000,66
18,1100,68
18,1200,69
18,1300,71
18,1400,59
18,1500,53
18,1600,51
18,1700,53
18,1800,58
18,1900,68
18,2000,67
18,2100,70
18,2200,60
18,2300,50
19,0,42
19,100,38
19,200,35
19,300,33
19,400,32
19,500,32
19,600,33
19,700,41
19,800,54
19,900,64
19,1000,70
19,1100,70
19,1200,62
19,1300,51
19,1400,52
19,1500,53
19,1600,55
19,1700,64
19,1800,61
19,1900,63
19,2000,65
19,2100,78
19,2200,54
19,2300,44
20,0,36
20,100,27
20,200,24
20,300,21
20,400,24
20,500,24
20,600,21
20,700,23
20,800,19
20,900,16
20,1000,20
20,1100,22
20,1200,26
20,1300,26
20,1400,26
20,1500,25
20,1600,27
20,1700,34
20,1800,28
20,1900,33
20,2000,34
20,2100,38
20,2200,34
20,2300,20
21,0,14
21,100,13
21,200,10
21,300,8
21,400,11
21,500,12
21,600,11
21,700,13
21,800,22
21,900,23
21,1000,30
21,1100,36
21,1200,50
21,1300,48
21,1400,47
21,1500,47
21,1600,42
21,1700,51
21,1800,53
21,1900,56
21,2000,48
21,2100,55
21,2200,56
21,2300,54
22,0,47
22,100,48
22,200,47
22,300,47
22,400,49
22,500,52
22,600,56
22,700,53
22,800,56
22,900,59
22,1000,63
22,1100,66
22,1200,67
22,1300,69
22,1400,75
22,1500,71
22,1600,67
22,1700,72
22,1800,70
22,1900,74
22,2000,75
22,2100,71
22,2200,69
22,2300,43
23,0,38
23,100,35
23,200,32
23,300,33
23,400,31
23,500,30
23,600,41
23,700,50
23,800,51
23,900,54
23,1000,57
23,1100,39
23,1200,35
23,1300,36
23,1400,44
23,1500,53
23,1600,51
23,1700,49
23,1800,47
23,1900,30
23,2000,25
23,2100,25
23,2200,31
23,2300,27
24,0,21
24,100,18
24,200,18
24,300,17
24,400,16
24,500,17
24,600,18
24,700,19
24,800,20
24,900,27
24,1000,26
24,1100,26
24,1200,27
24,1300,29
24,1400,31
24,1500,31
24,1600,33
24,1700,34
24,1800,31
24,1900,24
24,2000,23
24,2100,21
24,2200,24
24,2300,17
25,0,15
25,100,14
25,200,13
25,300,11
25,400,12
25,500,13
25,600,12
25,700,12
25,800,15
25,900,16
25,1000,24
25,1100,22
25,1200,30
25,1300,28
25,1400,26
25,1500,22
25,1600,23
25,1700,32
25,1800,34
25,1900,38
25,2000,43
25,2100,41
25,2200,43
25,2300,42
26,0,39
26,100,37
26,200,34
26,300,35
26,400,37
26,500,38
26,600,41
26,700,47
26,800,49
26,900,50
26,1000,52
26,1100,52
26,1200,53
26,1300,54
26,1400,56
26,1500,58
26,1600,58
26,1700,55
26,1800,47
26,1900,36
26,2000,36
26,2100,33
26,2200,27
26,2300,23
27,0,23
27,100,19
27,200,15
27,300,16
27,400,15
27,500,19
27,600,18
27,700,19
27,800,21
27,900,24
27,1000,26
27,1100,28
27,1200,30
27,1300,31
27,1400,33
27,1500,36
27,1600,36
27,1700,38
27,1800,37
27,1900,31
27,2000,24
27,2100,23
27,2200,21
27,2300,17
28,0,15
28,100,17
28,200,17
28,300,20
28,400,20
28,500,27
28,600,27
28,700,31
28,800,38
28,900,43
28,1000,47
28,1100,52
28,1200,57
28,1300,60
28,1400,59
28,1500,60
28,1600,64
28,1700,60
28,1800,56
28,1900,56
28,2000,56
28,2100,52
28,2200,45
28,2300,40
29,0,35
29,100,35
29,200,32
29,300,33
29,400,29
29,500,32
29,600,33
29,700,37
29,800,44
29,900,54
29,1000,61
29,1100,65
29,1200,65
29,1300,61
29,1400,58
29,1500,67
29,1600,65
29,1700,56
29,1800,57
29,1900,47
29,2000,39
29,2100,31
29,2200,29
29,2300,24
30,0,21
30,100,19
30,200,16
30,300,15
30,400,15
30,500,15
30,600,14
30,700,17
30,800,26
30,900,24
30,1000,31
30,1100,37
30,1200,32
30,1300,33
30,1400,33
30,1500,27
30,1600,27
30,1700,24
30,1800,25
30,1900,31
30,2000,35
30,2100,35
30,2200,34
30,2300,23
31,0,16
31,100,16
31,200,22
31,300,18
31,400,22
31,500,26
31,600,27
31,700,30
31,800,39
31,900,51
31,1000,60
31,1100,64
31,1200,71
31,1300,65
31,1400,64
31,1500,63
31,1600,64
31,1700,66
31,1800,67
31,1900,68
31,2000,69
31,2100,72
31,2200,68
31,2300,63
1,0,57
1,100,43
1,200,33
1,300,23
1,400,23
1,500,22
1,600,16
1,700,15
1,800,20
1,900,26
1,1000,26
1,1100,23
1,1200,22
1,1300,24
1,1400,24
1,1500,28
1,1600,33
1,1700,35
1,1800,39
1,1900,40
1,2000,46
1,2100,51
1,2200,50
1,2300,44
2,0,41
2,100,41
2,200,36
2,300,35
2,400,37
2,500,41
2,600,46
2,700,52
2,800,58
2,900,60
2,1000,62
2,1100,61
2,1200,68
2,1300,64
2,1400,62
2,1500,59
2,1600,58
2,1700,53
2,1800,53
2,1900,57
2,2000,58
2,2100,63
2,2200,62
2,2300,58
3,0,54
3,100,49
3,200,47
3,300,56
3,400,51
3,500,56
3,600,58
3,700,67
3,800,75
3,900,71
3,1000,73
3,1100,73
3,1200,72
3,1300,57
3,1400,47
3,1500,47
3,1600,28
3,1700,25
3,1800,21
3,1900,9
3,2000,17
3,2100,26
3,2200,20
3,2300,21
4,0,19
4,100,18
4,200,17
4,300,17
4,400,17
4,500,19
4,600,22
4,700,27
4,800,36
4,900,43
4,1000,34
4,1100,37
4,1200,36
4,1300,38
4,1400,42
4,1500,45
4,1600,53
4,1700,51
4,1800,49
4,1900,49
4,2000,55
4,2100,60
4,2200,53
4,2300,27
5,0,21
5,100,15
5,200,14
5,300,13
5,400,10
5,500,12
5,600,14
5,700,37
5,800,45
5,900,53
5,1000,57
5,1100,53
5,1200,29
5,1300,41
5,1400,33
5,1500,44
5,1600,45
5,1700,40
5,1800,40
5,1900,43
5,2000,44
5,2100,37
5,2200,42
5,2300,41
6,0,29
6,100,23
6,200,18
6,300,24
6,400,30
6,500,29
6,600,32
6,700,35
6,800,44
6,900,41
6,1000,50
6,1100,57
6,1200,59
6,1300,57
6,1400,59
